Datetime,Open,High,Low,Close,Volume
2020-05-26 04:14:00-04:00,186.7,186.85,186.7,186.85,0
2020-05-26 04:16:00-04:00,186.7,186.82,186.65,186.82,0
2020-05-26 04:18:00-04:00,186.99,186.99,186.99,186.99,0
2020-05-26 04:20:00-04:00,186.99,186.99,186.65,186.65,0
2020-05-26 04:22:00-04:00,186.76,186.76,186.6,186.6,0
2020-05-26 04:24:00-04:00,186.6,186.6,186.6,186.6,0
2020-05-26 04:26:00-04:00,186.65,186.65,186.65,186.65,0
2020-05-26 04:30:00-04:00,186.79,186.79,186.67,186.67,0
2020-05-26 04:32:00-04:00,186.9,186.9,186.9,186.9,0
2020-05-26 04:34:00-04:00,186.96,187.0,186.96,187.0,0
2020-05-26 04:36:00-04:00,186.88,186.99,186.88,186.99,0
2020-05-26 04:44:00-04:00,186.98,186.98,186.98,186.98,0
2020-05-26 04:46:00-04:00,186.98,186.98,186.98,186.98,0
2020-05-26 04:48:00-04:00,186.74,186.74,186.74,186.74,0
2020-05-26 04:52:00-04:00,186.74,186.74,186.74,186.74,0
2020-05-26 04:56:00-04:00,186.7,186.7,186.7,186.7,0
2020-05-26 04:58:00-04:00,186.83,186.83,186.7,186.83,0
2020-05-26 05:00:00-04:00,186.71,186.71,186.71,186.71,0
2020-05-26 05:04:00-04:00,186.88,186.89,186.88,186.89,0
2020-05-26 05:08:00-04:00,187.2,187.24,187.2,187.2,0
2020-05-26 05:10:00-04:00,186.94,187.24,186.94,186.94,0
2020-05-26 05:12:00-04:00,186.96,187.6,186.95,187.6,0
2020-05-26 05:14:00-04:00,187.6,187.6,187.6,187.6,0
2020-05-26 05:26:00-04:00,187.39,187.39,187.39,187.39,0
2020-05-26 05:34:00-04:00,187.01,187.01,187.0,187.0,0
2020-05-26 05:38:00-04:00,187.2,187.2,186.95,186.95,0
2020-05-26 05:52:00-04:00,187.0,187.0,187.0,187.0,0
2020-05-26 05:54:00-04:00,187.0,187.0,187.0,187.0,0
2020-05-26 05:58:00-04:00,186.99,186.99,186.99,186.99,0
2020-05-26 06:04:00-04:00,186.89,187.0,186.89,187.0,0
2020-05-26 06:12:00-04:00,186.94,186.96,186.94,186.96,0
2020-05-26 06:16:00-04:00,186.97,186.97,186.97,186.97,0
2020-05-26 06:18:00-04:00,186.97,187.0,186.97,187.0,0
2020-05-26 06:20:00-04:00,187.2,187.2,187.0,187.0,0
2020-05-26 06:22:00-04:00,187.18,187.18,186.93,186.93,0
2020-05-26 06:26:00-04:00,186.71,187.0,186.71,187.0,0
2020-05-26 06:28:00-04:00,187.0,187.0,187.0,187.0,0
2020-05-26 06:30:00-04:00,187.0,187.19,187.0,187.19,0
2020-05-26 06:40:00-04:00,186.86,186.97,186.86,186.97,0
2020-05-26 06:42:00-04:00,187.1,187.1,187.1,187.1,0
2020-05-26 06:44:00-04:00,187.1,187.12,187.1,187.12,0
2020-05-26 06:48:00-04:00,186.91,186.91,186.88,186.88,0
2020-05-26 06:52:00-04:00,186.8,186.81,186.7,186.7,0
2020-05-26 06:54:00-04:00,186.93,186.93,186.9,186.91,0
2020-05-26 06:58:00-04:00,186.66,186.66,186.64,186.64,0
2020-05-26 07:00:00-04:00,186.62,186.92,185.91,186.19,0
2020-05-26 07:02:00-04:00,186.12,186.2,186.0,186.1,0
2020-05-26 07:04:00-04:00,186.0,186.46,186.0,186.3,0
2020-05-26 07:06:00-04:00,186.27,186.28,186.1,186.28,0
2020-05-26 07:08:00-04:00,186.23,186.24,186.18,186.2,0
2020-05-26 07:10:00-04:00,186.2,186.35,186.2,186.35,0
2020-05-26 07:12:00-04:00,186.37,186.37,186.3,186.3,0
2020-05-26 07:14:00-04:00,186.23,186.23,186.15,186.18,0
2020-05-26 07:16:00-04:00,186.15,186.38,186.15,186.38,0
2020-05-26 07:20:00-04:00,186.37,186.4,186.37,186.39,0
2020-05-26 07:22:00-04:00,186.25,186.28,186.2,186.2,0
2020-05-26 07:24:00-04:00,186.18,186.18,186.12,186.12,0
2020-05-26 07:26:00-04:00,186.15,186.4,186.11,186.4,0
2020-05-26 07:28:00-04:00,186.37,186.37,186.37,186.37,0
