Datetime,Open,High,Low,Close,Volume,ma,ema 12,ema 26,ema 12-26,ema 9
2020-05-26 04:15:00-04:00,186.7,186.85,186.7,186.85,0,186.85,186.85,186.85,0.0,186.85
2020-05-26 04:16:00-04:00,186.7,186.82,186.65,186.82,0,186.835,186.835,186.835,0.0,186.835
2020-05-26 04:18:00-04:00,186.99,186.99,186.99,186.99,0,186.887,186.887,186.887,0.0,186.887
2020-05-26 04:21:00-04:00,186.65,186.65,186.65,186.65,0,186.828,186.828,186.828,0.0,186.828
2020-05-26 04:23:00-04:00,186.76,186.76,186.6,186.6,0,186.782,186.782,186.782,0.0,186.782
2020-05-26 04:25:00-04:00,186.6,186.6,186.6,186.6,0,186.752,186.752,186.752,0.0,186.752
2020-05-26 04:30:00-04:00,186.79,186.79,186.67,186.67,0,186.74,186.74,186.74,0.0,186.74
2020-05-26 04:32:00-04:00,186.9,186.9,186.9,186.9,0,186.76,186.76,186.76,0.0,186.76
2020-05-26 04:35:00-04:00,186.96,187.0,186.96,187.0,0,186.787,186.787,186.787,0.0,0.0
2020-05-26 04:36:00-04:00,186.88,186.98,186.88,186.98,0,186.806,186.806,186.806,0.0,0.0
2020-05-26 04:37:00-04:00,186.97,186.99,186.97,186.99,0,186.823,186.823,186.823,0.0,0.0
2020-05-26 04:45:00-04:00,186.98,186.98,186.98,186.98,0,186.836,186.836,186.836,0.0,0.0
2020-05-26 04:48:00-04:00,186.74,186.74,186.74,186.74,0,186.827,186.858,186.827,0.03100000000000591,0.006200000000001183
2020-05-26 04:56:00-04:00,186.7,186.7,186.7,186.7,0,186.817,186.831,186.817,0.013999999999981583,0.007759999999997263
2020-05-26 04:58:00-04:00,186.83,186.83,186.7,186.7,0,186.793,186.809,186.793,0.015999999999991132,0.009407999999996038
2020-05-26 04:59:00-04:00,186.83,186.83,186.83,186.83,0,186.808,186.813,186.808,0.0049999999999954525,0.00852639999999592
2020-05-26 05:01:00-04:00,186.71,186.71,186.71,186.71,0,186.817,186.796,186.817,-0.021000000000015007,0.0026211199999937344
2020-05-26 05:05:00-04:00,186.88,186.89,186.88,186.89,0,186.841,186.811,186.841,-0.030000000000001137,-0.00390310400000524
2020-05-26 05:09:00-04:00,187.2,187.24,187.2,187.2,0,186.885,186.873,186.885,-0.012000000000000455,-0.005522483200004283
2020-05-26 05:10:00-04:00,186.94,187.24,186.94,186.94,0,186.888,186.884,186.888,-0.004000000000019099,-0.005217986560007246
2020-05-26 05:12:00-04:00,186.96,187.6,186.95,187.38,0,186.92,186.963,186.92,0.043000000000006366,0.004425610751995476
2020-05-26 05:13:00-04:00,187.5,187.6,187.5,187.6,0,186.972,187.063,186.972,0.09099999999997976,0.021740488601592334
2020-05-26 05:14:00-04:00,187.6,187.6,187.6,187.6,0,187.023,187.148,187.023,0.125,0.04239239088127387
2020-05-26 05:26:00-04:00,187.39,187.39,187.39,187.39,0,187.057,187.186,187.057,0.1290000000000191,0.059713912705022916
2020-05-26 05:34:00-04:00,187.01,187.01,187.0,187.0,0,187.078,187.157,187.078,0.07900000000000773,0.06357113016401988
2020-05-26 05:38:00-04:00,187.2,187.2,187.2,187.2,0,187.12,187.163,187.12,0.043000000000006366,0.05945690413121718
2020-05-26 05:39:00-04:00,186.95,186.95,186.95,186.95,0,187.141,187.13,187.056,0.07399999999998386,0.06236552330497051
2020-05-26 05:52:00-04:00,187.0,187.0,187.0,187.0,0,187.155,187.11,187.051,0.05900000000002592,0.061692418643981596
2020-05-26 06:05:00-04:00,186.89,187.0,186.89,187.0,0,187.179,187.093,187.047,0.04599999999999227,0.05855393491518373
2020-05-26 06:12:00-04:00,186.94,186.96,186.94,186.96,0,187.185,187.072,187.04,0.03200000000001069,0.05324314793214912
2020-05-26 06:16:00-04:00,186.97,186.97,186.97,186.97,0,187.166,187.057,187.034,0.022999999999996135,0.04719451834571852
2020-05-26 06:18:00-04:00,186.97,187.0,186.97,187.0,0,187.171,187.048,187.031,0.016999999999995907,0.041155614676574
2020-05-26 06:20:00-04:00,187.2,187.2,187.0,187.0,0,187.139,187.04,187.029,0.01099999999999568,0.03512449174125833
2020-05-26 06:22:00-04:00,187.18,187.18,186.93,186.93,0,187.083,187.023,187.021,0.0020000000000095497,0.028499593393008577
2020-05-26 06:26:00-04:00,186.71,187.0,186.71,187.0,0,187.033,187.02,187.019,0.0010000000000047748,0.022999674714407815
2020-05-26 06:30:00-04:00,187.0,187.19,187.0,187.19,0,187.017,187.046,187.033,0.01300000000000523,0.020999739771527297
2020-05-26 06:40:00-04:00,186.86,186.86,186.86,186.86,0,187.005,187.017,187.019,-0.0020000000000095497,0.016399791817219928
2020-05-26 06:42:00-04:00,187.1,187.1,187.1,187.1,0,186.997,187.03,187.025,0.0049999999999954525,0.014119833453775033
2020-05-26 06:45:00-04:00,187.1,187.12,187.1,187.12,0,187.011,187.044,187.033,0.011000000000024102,0.013495866763024847
2020-05-26 06:48:00-04:00,186.91,186.91,186.88,186.88,0,187.001,187.019,187.021,-0.001999999999981128,0.010396693410423652
2020-05-26 06:52:00-04:00,186.8,186.8,186.8,186.8,0,186.984,186.985,187.004,-0.018999999999977035,0.004517354728343514
2020-05-26 06:53:00-04:00,186.81,186.81,186.7,186.7,0,186.962,186.941,186.98,-0.03899999999998727,-0.004186116217322642
2020-05-26 06:55:00-04:00,186.93,186.93,186.9,186.91,0,186.957,186.936,186.975,-0.03899999999998727,-0.011148892973855566
2020-05-26 06:59:00-04:00,186.66,186.66,186.64,186.64,0,186.927,186.891,186.949,-0.058000000000021146,-0.020519114379088682
2020-05-26 07:00:00-04:00,186.62,186.92,185.91,186.0,0,186.844,186.754,186.877,-0.12300000000001887,-0.04101529150327472
2020-05-26 07:01:00-04:00,186.18,186.19,186.18,186.19,0,186.782,186.667,186.824,-0.1570000000000107,-0.06421223320262191
2020-05-26 07:02:00-04:00,186.12,186.2,186.0,186.0,0,186.699,186.564,186.762,-0.1980000000000075,-0.09096978656209903
